platform,address,zone_type,restaurant,product_name,product_price,delivery_fee,service_fee,estimated_time_min,active_promo,availability,scraped_at,source_url,search_url
rappi,"Av. Santa Fe 495, Cuajimalpa, CDMX",high,Burger King,Combo Whopper,165.36,33,11,30,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
ubereats,"Av. Santa Fe 495, Cuajimalpa, CDMX",high,McDonald's,Big Mac,106.02,27,9,27,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Av. Santa Fe 495, Cuajimalpa, CDMX",high,McDonald's,Combo Big Mac,160.06,27,10,27,,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Av. Santa Fe 495, Cuajimalpa, CDMX",high,Burger King,Whopper,114.63,27,9,27,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
ubereats,"Av. Santa Fe 495, Cuajimalpa, CDMX",high,Burger King,Combo Whopper,168.67,27,10,27,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
didi,"Av. Santa Fe 495, Cuajimalpa, CDMX",high,McDonald's,Big Mac,101.9,30,7,29,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Av. Santa Fe 495, Cuajimalpa, CDMX",high,McDonald's,Combo Big Mac,153.86,30,8,29,,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Av. Santa Fe 495, Cuajimalpa, CDMX",high,Burger King,Whopper,110.09,30,7,29,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
didi,"Av. Santa Fe 495, Cuajimalpa, CDMX",high,Burger King,Combo Whopper,162.05,30,8,29,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
rappi,"Emilio Castelar 95, Polanco, CDMX",high,McDonald's,Big Mac,104.96,31,10,31,,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Emilio Castelar 95, Polanco, CDMX",high,McDonald's,Combo Big Mac,153.96,31,11,31,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Emilio Castelar 95, Polanco, CDMX",high,Burger King,Whopper,113.36,31,10,31,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
rappi,"Emilio Castelar 95, Polanco, CDMX",high,Burger King,Combo Whopper,166.36,31,11,31,,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
ubereats,"Emilio Castelar 95, Polanco, CDMX",high,McDonald's,Big Mac,107.02,25,9,28,,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Emilio Castelar 95, Polanco, CDMX",high,McDonald's,Combo Big Mac,157.06,25,10,28,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Emilio Castelar 95, Polanco, CDMX",high,Burger King,Whopper,115.63,25,9,28,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
ubereats,"Emilio Castelar 95, Polanco, CDMX",high,Burger King,Combo Whopper,169.67,25,10,28,,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
didi,"Emilio Castelar 95, Polanco, CDMX",high,McDonald's,Big Mac,102.9,28,7,30,,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Emilio Castelar 95, Polanco, CDMX",high,McDonald's,Combo Big Mac,150.86,28,8,30,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Emilio Castelar 95, Polanco, CDMX",high,Burger King,Whopper,111.09,28,7,30,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
didi,"Emilio Castelar 95, Polanco, CDMX",high,Burger King,Combo Whopper,163.05,28,8,30,,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
rappi,"Av. Insurgentes Sur 664, Del Valle, CDMX",high,McDonald's,Big Mac,101.96,32,10,32,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Av. Insurgentes Sur 664, Del Valle, CDMX",high,McDonald's,Combo Big Mac,154.96,32,11,32,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Av. Insurgentes Sur 664, Del Valle, CDMX",high,Burger King,Whopper,114.36,32,10,32,,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
rappi,"Av. Insurgentes Sur 664, Del Valle, CDMX",high,Burger King,Combo Whopper,167.36,32,11,32,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
ubereats,"Av. Insurgentes Sur 664, Del Valle, CDMX",high,McDonald's,Big Mac,104.02,26,9,29,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Av. Insurgentes Sur 664, Del Valle, CDMX",high,McDonald's,Combo Big Mac,158.06,26,10,29,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Av. Insurgentes Sur 664, Del Valle, CDMX",high,Burger King,Whopper,116.63,26,9,29,,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
ubereats,"Av. Insurgentes Sur 664, Del Valle, CDMX",high,Burger King,Combo Whopper,170.67,26,10,29,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
didi,"Av. Insurgentes Sur 664, Del Valle, CDMX",high,McDonald's,Big Mac,99.9,29,7,31,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Av. Insurgentes Sur 664, Del Valle, CDMX",high,McDonald's,Combo Big Mac,151.86,29,8,31,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Av. Insurgentes Sur 664, Del Valle, CDMX",high,Burger King,Whopper,112.09,29,7,31,,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
didi,"Av. Insurgentes Sur 664, Del Valle, CDMX",high,Burger King,Combo Whopper,164.05,29,8,31,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
rappi,"Av. Alvaro Obregon 110, Roma Norte, CDMX",mid,McDonald's,Big Mac,99.0,37,10,31,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Av. Alvaro Obregon 110, Roma Norte, CDMX",mid,McDonald's,Combo Big Mac,150.0,37,11,31,,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Av. Alvaro Obregon 110, Roma Norte, CDMX",mid,Burger King,Whopper,111.0,37,10,31,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
rappi,"Av. Alvaro Obregon 110, Roma Norte, CDMX",mid,Burger King,Combo Whopper,158.0,37,11,31,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
ubereats,"Av. Alvaro Obregon 110, Roma Norte, CDMX",mid,McDonald's,Big Mac,100.98,31,9,28,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Av. Alvaro Obregon 110, Roma Norte, CDMX",mid,McDonald's,Combo Big Mac,152.98,31,10,28,,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Av. Alvaro Obregon 110, Roma Norte, CDMX",mid,Burger King,Whopper,113.18,31,9,28,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
ubereats,"Av. Alvaro Obregon 110, Roma Norte, CDMX",mid,Burger King,Combo Whopper,161.18,31,10,28,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
didi,"Av. Alvaro Obregon 110, Roma Norte, CDMX",mid,McDonald's,Big Mac,97.02,34,7,30,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Av. Alvaro Obregon 110, Roma Norte, CDMX",mid,McDonald's,Combo Big Mac,147.02,34,8,30,,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Av. Alvaro Obregon 110, Roma Norte, CDMX",mid,Burger King,Whopper,108.82,34,7,30,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
didi,"Av. Alvaro Obregon 110, Roma Norte, CDMX",mid,Burger King,Combo Whopper,154.82,34,8,30,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
rappi,"Tamaulipas 66, Condesa, CDMX",mid,McDonald's,Big Mac,100.0,35,10,32,,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Tamaulipas 66, Condesa, CDMX",mid,McDonald's,Combo Big Mac,151.0,35,11,32,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Tamaulipas 66, Condesa, CDMX",mid,Burger King,Whopper,108.0,35,10,32,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
rappi,"Tamaulipas 66, Condesa, CDMX",mid,Burger King,Combo Whopper,159.0,35,11,32,,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
ubereats,"Tamaulipas 66, Condesa, CDMX",mid,McDonald's,Big Mac,101.98,29,9,29,,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Tamaulipas 66, Condesa, CDMX",mid,McDonald's,Combo Big Mac,153.98,29,10,29,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Tamaulipas 66, Condesa, CDMX",mid,Burger King,Whopper,110.18,29,9,29,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
ubereats,"Tamaulipas 66, Condesa, CDMX",mid,Burger King,Combo Whopper,162.18,29,10,29,,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
didi,"Tamaulipas 66, Condesa, CDMX",mid,McDonald's,Big Mac,98.02,32,7,31,,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Tamaulipas 66, Condesa, CDMX",mid,McDonald's,Combo Big Mac,148.02,32,8,31,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Tamaulipas 66, Condesa, CDMX",mid,Burger King,Whopper,105.82,32,7,31,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
didi,"Tamaulipas 66, Condesa, CDMX",mid,Burger King,Combo Whopper,155.82,32,8,31,,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
rappi,"Medellin 65, Roma Sur, CDMX",mid,McDonald's,Big Mac,101.0,36,10,33,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Medellin 65, Roma Sur, CDMX",mid,McDonald's,Combo Big Mac,148.0,36,11,33,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Medellin 65, Roma Sur, CDMX",mid,Burger King,Whopper,109.0,36,10,33,,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
rappi,"Medellin 65, Roma Sur, CDMX",mid,Burger King,Combo Whopper,160.0,36,11,33,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
ubereats,"Medellin 65, Roma Sur, CDMX",mid,McDonald's,Big Mac,102.98,30,9,30,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Medellin 65, Roma Sur, CDMX",mid,McDonald's,Combo Big Mac,150.98,30,10,30,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Medellin 65, Roma Sur, CDMX",mid,Burger King,Whopper,111.18,30,9,30,,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
ubereats,"Medellin 65, Roma Sur, CDMX",mid,Burger King,Combo Whopper,163.18,30,10,30,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
didi,"Medellin 65, Roma Sur, CDMX",mid,McDonald's,Big Mac,99.02,33,7,32,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Medellin 65, Roma Sur, CDMX",mid,McDonald's,Combo Big Mac,145.02,33,8,32,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Medellin 65, Roma Sur, CDMX",mid,Burger King,Whopper,106.82,33,7,32,,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
didi,"Medellin 65, Roma Sur, CDMX",mid,Burger King,Combo Whopper,156.82,33,8,32,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
rappi,"Av. Coyoacan 1035, Del Valle, CDMX",mid,McDonald's,Big Mac,98.0,37,10,34,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Av. Coyoacan 1035, Del Valle, CDMX",mid,McDonald's,Combo Big Mac,149.0,37,11,34,,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Av. Coyoacan 1035, Del Valle, CDMX",mid,Burger King,Whopper,110.0,37,10,34,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
rappi,"Av. Coyoacan 1035, Del Valle, CDMX",mid,Burger King,Combo Whopper,161.0,37,11,34,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
ubereats,"Av. Coyoacan 1035, Del Valle, CDMX",mid,McDonald's,Big Mac,99.98,31,9,31,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Av. Coyoacan 1035, Del Valle, CDMX",mid,McDonald's,Combo Big Mac,151.98,31,10,31,,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Av. Coyoacan 1035, Del Valle, CDMX",mid,Burger King,Whopper,112.18,31,9,31,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
ubereats,"Av. Coyoacan 1035, Del Valle, CDMX",mid,Burger King,Combo Whopper,164.18,31,10,31,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
didi,"Av. Coyoacan 1035, Del Valle, CDMX",mid,McDonald's,Big Mac,96.02,34,7,33,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Av. Coyoacan 1035, Del Valle, CDMX",mid,McDonald's,Combo Big Mac,146.02,34,8,33,,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Av. Coyoacan 1035, Del Valle, CDMX",mid,Burger King,Whopper,107.82,34,7,33,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
didi,"Av. Coyoacan 1035, Del Valle, CDMX",mid,Burger King,Combo Whopper,157.82,34,8,33,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
rappi,"Gabriel Mancera 1402, Del Valle, CDMX",mid,McDonald's,Big Mac,99.0,35,10,35,,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Gabriel Mancera 1402, Del Valle, CDMX",mid,McDonald's,Combo Big Mac,150.0,35,11,35,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Gabriel Mancera 1402, Del Valle, CDMX",mid,Burger King,Whopper,111.0,35,10,35,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
rappi,"Gabriel Mancera 1402, Del Valle, CDMX",mid,Burger King,Combo Whopper,158.0,35,11,35,,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
ubereats,"Gabriel Mancera 1402, Del Valle, CDMX",mid,McDonald's,Big Mac,100.98,29,9,32,,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Gabriel Mancera 1402, Del Valle, CDMX",mid,McDonald's,Combo Big Mac,152.98,29,10,32,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
ubereats,"Gabriel Mancera 1402, Del Valle, CDMX",mid,Burger King,Whopper,113.18,29,9,32,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
ubereats,"Gabriel Mancera 1402, Del Valle, CDMX",mid,Burger King,Combo Whopper,161.18,29,10,32,,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=Burger+King
didi,"Gabriel Mancera 1402, Del Valle, CDMX",mid,McDonald's,Big Mac,97.02,32,7,34,,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Gabriel Mancera 1402, Del Valle, CDMX",mid,McDonald's,Combo Big Mac,147.02,32,8,34,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=McDonald's
didi,"Gabriel Mancera 1402, Del Valle, CDMX",mid,Burger King,Whopper,108.82,32,7,34,free delivery,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
didi,"Gabriel Mancera 1402, Del Valle, CDMX",mid,Burger King,Combo Whopper,154.82,32,8,34,,available,2026-04-17T20:00:00Z,https://www.didifood.com/mx,https://www.didifood.com/mx/search?q=Burger+King
rappi,"Av. Revolucion 1400, San Angel, CDMX",mid,McDonald's,Big Mac,100.0,36,10,31,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Av. Revolucion 1400, San Angel, CDMX",mid,McDonald's,Combo Big Mac,151.0,36,11,31,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=McDonald's
rappi,"Av. Revolucion 1400, San Angel, CDMX",mid,Burger King,Whopper,108.0,36,10,31,,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
rappi,"Av. Revolucion 1400, San Angel, CDMX",mid,Burger King,Combo Whopper,159.0,36,11,31,15% off,available,2026-04-17T20:00:00Z,https://www.rappi.com.mx,https://www.rappi.com.mx/buscar?q=Burger+King
ubereats,"Av. Revolucion 1400, San Angel, CDMX",mid,McDonald's,Big Mac,101.98,30,9,28,20% off,available,2026-04-17T20:00:00Z,https://www.ubereats.com/mx,https://www.ubereats.com/mx/search?q=McDonald's
